#OTUID	taxonomy	confidence
532a24f47410330b248b92a921d903d2	 kingdom_Eukaryota;supergroup_Rhizaria;division_Radiolaria;class_Acantharea;order_Acantharea-Group-I;family_Acantharea-Group-I_X;genus_Acantharea-Group-I_XX;species_Acantharea-Group-I_XX_sp.	0.9999999853945384
15eae11a1ac4cff7d9f3f0932087244e	 kingdom_Eukaryota;supergroup_Archaeplastida;division_Chlorophyta;class_Mamiellophyceae;order_Mamiellales;family_Mamiellaceae;genus_Micromonas;species_Micromonas_commoda_C	0.9943599680859265
973d656acbfcaa9a45325de371c89a5d	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Gymnodiniaceae;genus_Lepidodinium	0.9167432922278016
1c2987151e9cce4555a61674858abdb4	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Calocalanus;species_Calocalanus_minutus	0.9800543744974766
60ebb08f215d6a9bb43b428e575d4f01	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Kareniaceae	0.7944727492206971
a7b197e43e28a3cc0ca1d147cf4b31ec	 kingdom_Eukaryota;supergroup_Archaeplastida;division_Chlorophyta;class_Mamiellophyceae;order_Mamiellales;family_Bathycoccaceae;genus_Ostreococcus;species_Ostreococcus_clade_B	0.9632500069009191
473b2cb83f5bab191bd122bacded9ece	 kingdom_Eukaryota;supergroup_Hacrobia;division_Haptophyta;class_Prymnesiophyceae;order_Prymnesiophyceae_Clade_D;family_Prymnesiophyceae_Clade_D_X;genus_Prymnesiophyceae_Clade_D_XX;species_Prymnesiophyceae_Clade_D_XX_sp.	0.999998637988757
98725d7032cedae3ccee79a648a1a1f2	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Corycaeus;species_Corycaeus_speciosus	0.8110013497519077
22f254d6e601aa67bd58a0c35f91841b	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae	0.9999999355378664
66bdd3c94b3b8a67626c85aa1bf27dc2	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Gymnodiniaceae;genus_Gyrodinium	0.8628632685185724
bc68c9facbafa6ffe12f1040c534c88b	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Maxillopoda_X;species_Maxillopoda_X_sp.	0.944718009203009
160e3bbb57a5862403299610d8ef7146	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Gymnodiniaceae;genus_Gymnodinium;species_Gymnodinium_sp.	0.9393770168443593
9b4336983e721097d51d42538facbe37	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Pleuromamma	0.8674438148602007
da7860c2a58e2a1c4695228366a86244	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae	0.999999635693999
289ad5c58063d28e35d4c17c69802d1e	 kingdom_Eukaryota;supergroup_Stramenopiles;division_Stramenopiles_X;class_MAST;order_MAST-4;family_MAST-4A;genus_MAST-4A_X;species_MAST-4A_X_sp.	0.9863894700119384
2b79a6a08b19c3838ff6028218d63200	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Urochordata;order_Urochordata_X;family_Ascidiacea;genus_Doliolum	0.8408459223190019
bc63b40ded854a385d47328f0a82a814	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Syndiniales;order_Dino-Group-I;family_Dino-Group-I-Clade-1;genus_Dino-Group-I-Clade-1_X;species_Dino-Group-I-Clade-1_X_sp.	0.9999999999928662
5ca97e22baeda04ce07b9ad0b1ad8022	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Maxillopoda_X;species_Maxillopoda_X_sp.	0.8171837659725408
6d7460004594f4b060126e3ea3f746c0	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Hemichordata;order_Hemichordata_X;family_Hemichordata_XX;genus_Schizocardium;species_Schizocardium_sp.	0.7740610213331021
e82f84c429a45fe5dd8e81b2d921e04d	 kingdom_Eukaryota;supergroup_Rhizaria;division_Radiolaria;class_RAD-A;order_RAD-A_X;family_RAD-A_XX;genus_RAD-A_XXX;species_RAD-A_XXX_sp.	0.9999995630187573
2541806104cd9a7658c8f40160c513d8	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Cnidaria;order_Cnidaria_X;family_Hydrozoa	0.9999999906124373
a4bbf321b62347b786db54851177ca16	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Gymnodiniaceae;genus_Gyrodinium;species_Gyrodinium_dominans	0.8992392465402792
442734a1a5e84abe00daeb34e28edd06	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Gymnodiniaceae	0.7350769017959178
7a7623616cf53cf036a0dcc5ff205529	 kingdom_Eukaryota;supergroup_Rhizaria;division_Radiolaria;class_Polycystinea;order_Spumellarida;family_Spumellarida-Group-I;genus_Arachnosphaera;species_Arachnosphaera_myriacantha	0.8545577536458371
650ed0c47a92d173d5bee0aa54f272ed	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Urochordata;order_Urochordata_X;family_Ascidiacea;genus_Doliolum	0.9440705086132177
86917e711bff0e57728f8dddc07f92e0	 kingdom_Eukaryota;supergroup_Stramenopiles;division_Stramenopiles_X;class_MAST;order_MAST-1;family_MAST-1D;genus_MAST-1D_X;species_MAST-1D_X_sp.	0.9999999995146709
1763013abf58682523843a8638ee027f	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Syndiniales;order_Dino-Group-II;family_Dino-Group-II-Clade-10-and-11;genus_Dino-Group-II-Clade-10-and-11_X;species_Dino-Group-II-Clade-10-and-11_X_sp.	0.9993361411123394
6cf1910034583c319c18acf595a75013	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Kareniaceae;genus_Karlodinium;species_Karlodinium_sp.	0.9743691879502919
2e010c4f99cfd17bc5ef5e0491e667be	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales	0.9671989826661725
a40bbce3d399826370cbbcb02f8ed7b5	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Syndiniales;order_Dino-Group-I;family_Dino-Group-I-Clade-5;genus_Dino-Group-I-Clade-5_X;species_Dino-Group-I-Clade-5_X_sp.	0.9999992984350189
b6aea8f2f15a242d50940ccd3b51c12a	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae	0.9999821051855766
c934aa2789c86511ddb122cc93325058	 kingdom_Eukaryota;supergroup_Archaeplastida;division_Chlorophyta;class_Chloropicophyceae;order_Chloropicales;family_Chloropicaceae;genus_Chloropicon;species_Chloropicon_roscoffensis	0.7275891114214538
0cd6b171c8bdcde96b9221df4d638ffc	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Opisthokonta_X;class_Opisthokonta_XX;order_Opisthokonta_XXX;family_Opisthokonta_XXXX;genus_Opisthokonta_XXXXX;species_Opisthokonta_XXXXX_sp.	0.9999920561875838
