sample	K00855	K01601	K01602	K14468	K08691	K14470	K09709	K15039	K15016	K15230	K15231	K03519	K03518	K00320	K14083	K00577	K03390	K05979	K06034	K08097	K13039	K10944	K00370	K00371	K00367	K00372	K00362	K00363	K00368	K15864	K04561	K02305	K00376	K00374	K02567	K02568	K00394	K00395	K11181	K00436	Genome.Size	Gene.Count	sample.y	station	filtersize	Date	Ocean	Depth	Longitude	Latitude	Salinity	T.pot	O2	AOU	WSDW	CDW	NADW_2	NADW_4.6	NADW	AAIW	SAMW	WATERMASS	Basin
MP0900	0.545454545454545	0	0	0	0	0	0.141414141414141	0	0.025252525252525	0	0	0.242424242424242	0.222222222222222	0.46969696969697	0.813131313131313	0	0	0.015151515151515	0	0.070707070707071	0	0	0.318181818181818	0.247474747474748	0	1.04545454545455	1.58585858585859	0.808080808080808	0	0	0	0.262626262626263	0	0.207070707070707	0	0.045454545454546	0.131313131313131	0.050505050505051	0	0	425017038	2183591	900	50	0.8	18/02/11	Indic	-4002	39.89	-33.55	34.7402	0.851	199.1923	141.8375	0.4589	0.2899	0.2512	0	0.2512	0	0	WSDW	Agulhas-Cape basin
MP0901	0.06466784244562	0	0	0	0.002939447383892	0.009994121105232	0.014109347442681	0	0	0	0	0.02527924750147	0.023515579071135	0.097589653145209	0.161669606114051	0.052322163433275	0	0.00705467372134	0	0.006466784244562	0.02527924750147	0	0.087007642563198	0.042915931804821	0	0.100529100529101	0.138741916519694	0.034097589653145	0.029982363315697	0	0	0.024691358024691	0.006466784244562	0	0.00705467372134	0	0.004115226337449	0	0	0	562022687	2907172	901	50	0.2	18/02/11	Indic	-4002	39.89	-33.55	34.7402	0.851	199.1923	141.8375	0.4589	0.2899	0.2512	0	0.2512	0	0	WSDW	Agulhas-Cape basin
MP0959	0.043290043290043	0	0	0	0	0	0	0	0	0	0	0.127705627705628	0.071428571428571	0.19047619047619	0.391774891774892	0	0	0.004329004329004	0	0.010822510822511	0	0	0.01948051948052	0.004329004329004	0	0.264069264069264	0.374458874458874	0.203463203463203	0	0	0	0.056277056277056	0	0	0	0	0.032467532467533	0.01948051948052	0	0	535923837	2770736	959	53	0.8	25/02/11	Indic	-3500	63.2478	-27.9783	34.7241	1.3208	164.9308	172.0886	0.1879	0.7311	0.0809	0	0.0809	0	0	CDW	Madagascar basin
MP0960	0.164556962025316	0.00210970464135	0	0	0	0	0.063291139240506	0	0	0.023206751054852	0.040084388185654	0.445147679324895	0.39662447257384	0.189873417721519	0.345991561181435	0	0	0.166666666666667	0.040084388185654	0.012658227848101	0.088607594936709	0.172995780590717	0.023206751054852	0.018987341772152	0	0.573839662447257	0.835443037974684	0.289029535864979	0.082278481012658	0	0	0.090717299578059	0	0	0	0.033755274261603	0.120253164556962	0.033755274261603	0	0	343519053	1572513	960	53	0.2	25/02/11	Indic	-3500	63.2478	-27.9783	34.7241	1.3208	164.9308	172.0886	0.1879	0.7311	0.0809	0	0.0809	0	0	CDW	Madagascar basin
MP1091	0.006302521008403	0	0	0	0	0	0	0	0	0	0	0.233193277310924	0.119747899159664	0.01890756302521	0.186974789915966	0	0	0	0	0	0	0	0.027310924369748	0.050420168067227	0	0.069327731092437	0.117647058823529	0.027310924369748	0	0	0	0.008403361344538	0	0	0	0	0.271008403361345	0.168067226890756	0	0	475889155	2491063	1091	59	0.8	03/03/11	Indic	-4000	82.62	-29.81	34.7244	1.0745	176.0691	163.0636	0.3216	0.5537	0.1247	0	0.1247	0	0	CDW	Mid Indian basin
MP1092	0.009031198686371	0.008210180623974	0.004105090311987	0	0	0	0.022988505747126	0	0.002463054187192	0	0	0.186371100164204	0.186371100164204	0.122331691297209	0.156814449917898	0	0	0.036945812807882	0.042692939244663	0.013957307060755	0.097701149425287	0	0.01559934318555	0	0	0.039408866995074	0.03448275862069	0.024630541871921	0.050903119868637	0	0.009031198686371	0	0	0	0	0	0.049261083743842	0.025451559934319	0	0	525092455	2739887	1092	59	0.2	03/03/11	Indic	-4000	82.62	-29.81	34.7244	1.0745	176.0691	163.0636	0.3216	0.5537	0.1247	0	0.1247	0	0	CDW	Mid Indian basin
MP1140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010050251256281	0	0	0	0	0	0	0	0	0	0.015075376884422	0	0	0	548443178	2884111	1140	62	0.8	06/03/11	Indic	-2400	92.9852	-29.6525	34.7266	1.8199	158.945	173.852	0	0.7274	0.2154	0	0.2154	0.0572	0	CDW	Out of basins
MP1141	0.073552425665102	0.086854460093897	0.048513302034429	0	0.001956181533646	0	0.010954616588419	0.003912363067293	0.001564945226917	0	0	0.016431924882629	0.02112676056338	0.007042253521127	0.0320813771518	0	0	0.051643192488263	0	0.011345852895149	0.003129890453834	0	0.001564945226917	0	0.052425665101721	0	0	0.001173708920188	0.001564945226917	0	0	0	0.001173708920188	0	0	0	0.059467918622848	0.053599374021909	0	0.041862284820031	921024478	4693527	1141	62	0.2	06/03/11	Indic	-2400	92.9852	-29.6525	34.7266	1.8199	158.945	173.852	0	0.7274	0.2154	0	0.2154	0.0572	0	CDW	Out of basins
MP1201	0.01188455008489	0	0	0	0.032258064516129	0	0	0	0.00848896434635	0	0	0.130730050933786	0.037351443123939	0.01358234295416	0.171477079796265	0	0	0	0	0	0	0	0.027164685908319	0.042444821731749	0	0.098471986417657	0.081494057724958	0.042444821731749	0	0	0	0.022071307300509	0	0.025466893039049	0	0	0.057724957555178	0.022071307300509	0	0	598757055	3233454	1201	65	0.8	09/03/11	Indic	-4001	103.3075	-30.3327	34.7178	0.8069	186.0802	155.3939	0.4598	0.4066	0.1336	0	0.1336	0	0	WSDW	South Australian basin
MP1202	0	0.014214046822743	0	0	0.010033444816054	0.005016722408027	0.038461538461539	0	0.045150501672241	0	0	0.319397993311037	0.354515050167224	0.183110367892977	0.315217391304348	0.016722408026756	0	0.020066889632107	0.026755852842809	0	0.127926421404682	0	0.037625418060201	0.018394648829431	0	0.081103678929766	0.130434782608696	0.067725752508361	0.019230769230769	0	0	0	0	0	0	0	0.083612040133779	0.033444816053512	0	0	376851449	1897453	1202	65	0.2	09/03/11	Indic	-4001	103.3075	-30.3327	34.7178	0.8069	186.0802	155.3939	0.4598	0.4066	0.1336	0	0.1336	0	0	WSDW	South Australian basin
