taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Azospirillales	40.0000	6	46.0	134751	.00004452	.1304
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Portnoybacteria		6	6	134751	.00004452	1.0000
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:PB19	120.0000	6	126.0	134751	.00004452	.0476
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfarculales	145.0000	6	151.0	134751	.00004452	.0397
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sneathiellales	274.0000	6	280.0	134751	.00004452	.0214
d:Bacteria,p:Nitrospinae,c:Nitrospinia,o:Nitrospinales	2145.0000	6	2151.0	134751	.00004452	.0027
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:uncultured_bacterium	4.0000	5	9.0	134751	.00003710	.5555
d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales	6.0000	5	11.0	134751	.00003710	.4545
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Zambryskibacteria		5	5	134751	.00003710	1.0000
d:Bacteria,p:GAL15,c:uncultured_bacterium,o:uncultured_bacterium		5	5	134751	.00003710	1.0000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Diplorickettsiales	58.0000	5	63.0	134751	.00003710	.0793
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Kuenenbacteria	80.0000	5	85.0	134751	.00003710	.0588
d:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:Phycisphaerales	134.0000	5	139.0	134751	.00003710	.0359
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Alteromonadales	218.0000	5	223.0	134751	.00003710	.0224
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Immundisolibacterales	1.0000	4	5.0	134751	.00002968	.8000
d:Bacteria,p:Planctomycetes,c:BD7-11,o:uncultured_Planctomycetales_bacterium	1.0000	4	5.0	134751	.00002968	.8000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Buchananbacteria	1.0000	4	5.0	134751	.00002968	.8000
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Ardenticatenales	1.0000	4	5.0	134751	.00002968	.8000
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Pseudonocardiales	1.0000	4	5.0	134751	.00002968	.8000
d:Bacteria,p:Elusimicrobia,c:Elusimicrobia,o:Lineage_IV	6.0000	4	10.0	134751	.00002968	.4000
d:Bacteria,p:Proteobacteria,c:Magnetococcia,o:Magnetococcales	14.0000	4	18.0	134751	.00002968	.2222
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Adlerbacteria		4	4	134751	.00002968	1.0000
d:Bacteria,p:Spirochaetes,c:Spirochaetia,o:Spirochaetales	51.0000	4	55.0	134751	.00002968	.0727
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:B2M28	85.0000	4	89.0	134751	.00002968	.0449
d:Bacteria,p:Patescibacteria,c:Gracilibacteria,o:Candidatus_Abawacabacteria	1.0000	3	4.0	134751	.00002226	.7500
d:Bacteria,p:Fibrobacteres,c:Fibrobacteria,o:Fibrobacterales	14.0000	3	17.0	134751	.00002226	.1764
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Francisellales	22.0000	3	25.0	134751	.00002226	.1200
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Nitrococcales		3	3	134751	.00002226	1.0000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:MBMPE27		3	3	134751	.00002226	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Yanofskybacteria		3	3	134751	.00002226	1.0000
d:Bacteria,p:Patescibacteria,c:Microgenomatia,o:Candidatus_Levybacteria		3	3	134751	.00002226	1.0000
d:Bacteria,p:Epsilonbacteraeota,c:Campylobacteria,o:Nautiliales		3	3	134751	.00002226	1.0000
d:Bacteria,p:Chloroflexi,c:KD4-96,o:uncultured_bacterium		3	3	134751	.00002226	1.0000
d:Bacteria,p:Planctomycetes,c:BD7-11,o:uncultured_planctomycete	42.0000	3	45.0	134751	.00002226	.0666
d:Bacteria,p:Lentisphaerae,c:Lentisphaeria,o:Victivallales	43.0000	3	46.0	134751	.00002226	.0652
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales	46.0000	3	49.0	134751	.00002226	.0612
d:Bacteria,p:Patescibacteria,c:Microgenomatia,o:Candidatus_Beckwithbacteria	48.0000	3	51.0	134751	.00002226	.0588
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales	83.0000	3	86.0	134751	.00002226	.0348
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales	132.0000	3	135.0	134751	.00002226	.0222
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales	143.0000	3	146.0	134751	.00002226	.0205
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Komeilibacteria	296.0000	3	299.0	134751	.00002226	.0100
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Puniceispirillales	546.0000	3	549.0	134751	.00002226	.0054
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:UBA10353_marine_group	557.0000	3	560.0	134751	.00002226	.0053
d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Actinomarinales	1082.0000	3	1085.0	134751	.00002226	.0027
d:Bacteria,p:PAUC34f,c:uncultured_marine_bacterium,o:uncultured_marine_bacterium	1.0000	2	3.0	134751	.00001484	.6666
d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:Ignavibacteriales	1.0000	2	3.0	134751	.00001484	.6666
d:Bacteria,p:Acidobacteria,c:Subgroup_17,o:uncultured_soil_bacterium	1.0000	2	3.0	134751	.00001484	.6666
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Acidiferrobacterales	2.0000	2	4.0	134751	.00001484	.5000
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:EV818SWSAP88	3.0000	2	5.0	134751	.00001484	.4000
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Bradymonadales	3.0000	2	5.0	134751	.00001484	.4000
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Streptomycetales	5.0000	2	7.0	134751	.00001484	.2857
d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Propionibacteriales	5.0000	2	7.0	134751	.00001484	.2857
d:Bacteria,p:Acidobacteria,c:Subgroup_6,o:uncultured_bacterium	9.0000	2	11.0	134751	.00001484	.1818
d:Bacteria,p:Chloroflexi,c:Dehalococcoidia,o:MSBL5	12.0000	2	14.0	134751	.00001484	.1428
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:SS1-B-04-55		2	2	134751	.00001484	1.0000
d:Bacteria,p:Poribacteria,c:uncultured_Planctomycetales_bacterium,o:uncultured_Planctomycetales_bacterium		2	2	134751	.00001484	1.0000
d:Bacteria,p:Planctomycetes,c:Pla3_lineage,o:hydrothermal_vent_metagenome		2	2	134751	.00001484	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Yonathbacteria		2	2	134751	.00001484	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Nealsonbacteria		2	2	134751	.00001484	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Giovannonibacteria		2	2	134751	.00001484	1.0000
d:Bacteria,p:Patescibacteria,c:Microgenomatia,o:Candidatus_Curtissbacteria		2	2	134751	.00001484	1.0000
d:Bacteria,p:Chloroflexi,c:JG30-KF-CM66,o:uncultured_Chloroflexi_bacterium	18.0000	2	20.0	134751	.00001484	.1000
d:Bacteria,p:Lentisphaerae,c:Oligosphaeria,o:P.palmC41	21.0000	2	23.0	134751	.00001484	.0869
