taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Magasanikbacteria		3	3	24945	.00012026	1.0000
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Jacksonbacteria		3	3	24945	.00012026	1.0000
d:Bacteria,p:Omnitrophicaeota,c:uncultured_bacterium,o:uncultured_bacterium	152.0000	3	155.0	24945	.00012026	.0193
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Thermoflexales	175.0000	3	178.0	24945	.00012026	.0168
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales	228.0000	3	231.0	24945	.00012026	.0129
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Flavobacteriales	311.0000	3	314.0	24945	.00012026	.0095
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfarculales	441.0000	3	444.0	24945	.00012026	.0067
d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales	885.0000	3	888.0	24945	.00012026	.0033
d:Bacteria,p:Thermotogae,c:Thermotogae,o:Kosmotogales	7.0000	2	9.0	24945	.00008017	.2222
d:Bacteria,p:Patescibacteria,c:WS6_(Dojkabacteria),o:uncultured_bacterium	7.0000	2	9.0	24945	.00008017	.2222
d:Bacteria,p:Patescibacteria,c:WWE3,o:uncultured_bacterium	13.0000	2	15.0	24945	.00008017	.1333
d:Bacteria,p:Acidobacteria,c:Acidobacteriia,o:Acidobacteriales	14.0000	2	16.0	24945	.00008017	.1250
d:Bacteria,p:Patescibacteria,c:Microgenomatia,o:Candidatus_Woesebacteria	15.0000	2	17.0	24945	.00008017	.1176
d:Bacteria,p:Planctomycetes,c:Phycisphaerae,o:S-70		2	2	24945	.00008017	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:UBA9983		2	2	24945	.00008017	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Yonathbacteria		2	2	24945	.00008017	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Terrybacteria		2	2	24945	.00008017	1.0000
d:Bacteria,p:Patescibacteria,c:Parcubacteria,o:Candidatus_Campbellbacteria		2	2	24945	.00008017	1.0000
d:Archaea,p:Nanoarchaeaeota,c:Nanohaloarchaeia,o:Aenigmarchaeales		2	2	24945	.00008017	1.0000
d:Archaea,p:Euryarchaeota,c:Thermoplasmata,o:uncultured		2	2	24945	.00008017	1.0000
d:Bacteria,p:WS2,c:uncultured_bacterium,o:uncultured_bacterium	21.0000	2	23.0	24945	.00008017	.0869
d:Bacteria,p:Kiritimatiellaeota,c:Kiritimatiellae,o:WCHB1-41	40.0000	2	42.0	24945	.00008017	.0476
d:Bacteria,p:Nitrospirae,c:Nitrospira,o:Nitrospirales	56.0000	2	58.0	24945	.00008017	.0344
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales	93.0000	2	95.0	24945	.00008017	.0210
d:Bacteria,p:Latescibacteria,c:uncultured_bacterium,o:uncultured_bacterium	123.0000	2	125.0	24945	.00008017	.0160
d:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfuromonadales	450.0000	2	452.0	24945	.00008017	.0044
d:Bacteria,p:Fusobacteria,c:Fusobacteriia,o:Fusobacteriales	446.0000	2	448.0	24945	.00008017	.0044
d:Bacteria,p:Planctomycetes,c:Planctomycetacia,o:uncultured	1.0000	1	2.0	24945	.00004008	.5000
d:Bacteria,p:Cyanobacteria,c:Sericytochromatia,o:uncultured_bacterium	1.0000	1	2.0	24945	.00004008	.5000
d:Bacteria,p:Chloroflexi,c:Ktedonobacteria,o:Ktedonobacterales	1.0000	1	2.0	24945	.00004008	.5000
d:Bacteria,p:Patescibacteria,c:Saccharimonadia,o:Saccharimonadales	2.0000	1	3.0	24945	.00004008	.3333
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Kuenenbacteria	2.0000	1	3.0	24945	.00004008	.3333
