taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Eukaryota,p:Incertae_Sedis,c:Ancyromonadida,o:metagenome		0	0	4360	0	0
d:Eukaryota,p:Incertae_Sedis,c:Ancyromonadida,o:Ancyromonas	7.0000	0	7.0	4360	0	0
d:Eukaryota,p:Haptophyta,c:uncultured,o:uncultured_haptophyte		0	0	4360	0	0
d:Eukaryota,p:Haptophyta,c:uncultured_eukaryote,o:uncultured_eukaryote	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:Haptophyta,c:T58,o:uncultured_marine_haptophyte		0	0	4360	0	0
d:Eukaryota,p:Haptophyta,c:T58,o:uncultured_eukaryote	3.0000	0	3.0	4360	0	0
d:Eukaryota,p:Haptophyta,c:Prymnesiophyceae,o:SGUH624		0	0	4360	0	0
d:Eukaryota,p:Haptophyta,c:Prymnesiophyceae,o:Prymnesiales	10.0000	0	10.0	4360	0	0
d:Eukaryota,p:Haptophyta,c:Prymnesiophyceae,o:Phaeocystis	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:Haptophyta,c:Prymnesiophyceae,o:Isochrysidales		0	0	4360	0	0
d:Eukaryota,p:Haptophyta,c:Prymnesiophyceae,o:Coccolithales	1.0000	0	1.0	4360	0	0
d:Eukaryota,p:Haptophyta,c:Pavlovophyceae,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Haptophyta,c:Pavlovophyceae,o:Pavlova		0	0	4360	0	0
d:Eukaryota,p:Haptophyta,c:Pavlovophyceae,o:Exanthemachrysis		0	0	4360	0	0
d:Eukaryota,p:Haptophyta,c:Pavlovophyceae,o:AA5F1		0	0	4360	0	0
d:Eukaryota,p:Haptophyta,c:Pav3,o:uncultured_eukaryote		0	0	4360	0	0
d:Eukaryota,p:Haptophyta,c:metagenome,o:metagenome		0	0	4360	0	0
d:Eukaryota,p:Hacrobia,c:Rappemonad,o:Rappemonad_X		0	0	4360	0	0
d:Eukaryota,p:Hacrobia,c:Haptophyta,o:Prymnesiophyceae		0	0	4360	0	0
